Model,Tumor Type,Treatment
X-007,GC,INC280 + trastuzumab
X-007,GC,LEE011
X-007,GC,LEE011
X-007,GC,LEE011
X-007,GC,LEE011
X-007,GC,LEE011 + everolimus
X-007,GC,LEE011 + everolimus
X-007,GC,LEE011 + everolimus
X-007,GC,LEE011 + everolimus
X-007,GC,LEE011 + everolimus
X-007,GC,LJM716 + trastuzumab
X-007,GC,LJM716 + trastuzumab
X-007,GC,LJM716 + trastuzumab
X-007,GC,LJM716 + trastuzumab
X-007,GC,LJM716 + trastuzumab
X-007,GC,LJM716
X-007,GC,LJM716
X-007,GC,LJM716
X-007,GC,LJM716
X-007,GC,LJM716
X-007,GC,LLM871
X-007,GC,LLM871
X-007,GC,LLM871
X-007,GC,LLM871
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,binimetinib
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,everolimus
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-007,GC,trastuzumab
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BGJ398
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BKM120
X-010,GC,BYL719 + LJM716
X-010,GC,BYL719 + LJM716
X-010,GC,BYL719 + LJM716
X-010,GC,BYL719 + LJM716
X-010,GC,BYL719 + LJM716
X-010,GC,BYL719 + LJM716
X-010,GC,BYL719 + LJM716
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719 + HSP990
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,BYL719
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,CLR457
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,HDM201
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,"figitumumab"""
X-010,GC,HSP990
X-010,GC,HSP990
X-010,GC,HSP990
X-010,GC,HSP990
X-010,GC,HSP990
X-010,GC,INC280
X-010,GC,INC280
X-010,GC,INC280
X-010,GC,INC280
X-010,GC,INC280
X-010,GC,INC280
X-010,GC,INC280
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,INC280 + trastuzumab
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LEE011 + everolimus
X-010,GC,LJM716
X-010,GC,LJM716
X-010,GC,LJM716
X-010,GC,LJM716
X-010,GC,LJM716
X-010,GC,LJM716
X-010,GC,LJM716
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LJM716 + trastuzumab
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,LLM871
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,binimetinib
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,everolimus
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,trastuzumab
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-010,GC,untreated
X-011,GC,BGJ398
X-011,GC,BGJ398
X-011,GC,BGJ398
X-011,GC,BGJ398
X-011,GC,BGJ398
X-011,GC,BGJ398
X-011,GC,BGJ398
X-011,GC,BGJ398
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BKM120
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + LJM716
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719 + HSP990
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,BYL719
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,CLR457
X-011,GC,HDM201
X-011,GC,HDM201
X-011,GC,HDM201
X-011,GC,HDM201
X-011,GC,HDM201
X-011,GC,HDM201
X-011,GC,HDM201
X-011,GC,HDM201
X-011,GC,"figitumumab"""
X-011,GC,"figitumumab"""
X-011,GC,"figitumumab"""
X-011,GC,"figitumumab"""
X-011,GC,"figitumumab"""
X-011,GC,"figitumumab"""
X-011,GC,"figitumumab"""
X-011,GC,"figitumumab"""
X-011,GC,HSP990
X-011,GC,HSP990
X-011,GC,HSP990
X-011,GC,HSP990
X-011,GC,HSP990
X-011,GC,HSP990
X-011,GC,HSP990
X-011,GC,HSP990
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280 + trastuzumab
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,INC280
X-011,GC,LEE011
X-011,GC,LEE011
X-011,GC,LEE011
X-011,GC,LEE011
X-011,GC,LEE011
X-011,GC,LEE011
X-011,GC,LEE011
X-011,GC,LEE011
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LEE011 + everolimus
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716 + trastuzumab
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LJM716
X-011,GC,LLM871
X-011,GC,LLM871
X-011,GC,LLM871
X-011,GC,LLM871
X-011,GC,LLM871
X-011,GC,LLM871
X-011,GC,LLM871
X-011,GC,LLM871
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,binimetinib
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,everolimus
X-011,GC,trastuzumab
X-011,GC,trastuzumab
X-011,GC,trastuzumab
X-011,GC,trastuzumab
X-011,GC,trastuzumab
X-011,GC,trastuzumab
X-011,GC,trastuzumab
X-011,GC,trastuzumab
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BGJ398
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BKM120
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719 + HSP990
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,BYL719 + LJM716
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,CLR457
X-015,GC,HDM201
X-015,GC,HDM201
X-015,GC,HDM201
X-015,GC,HDM201
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,"figitumumab"""
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,HSP990
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280 + trastuzumab
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,INC280
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011
X-015,GC,LEE011 + everolimus
X-015,GC,LEE011 + everolimus
X-015,GC,LEE011 + everolimus
X-015,GC,LEE011 + everolimus
X-015,GC,LEE011 + everolimus
X-015,GC,LEE011 + everolimus
X-015,GC,LEE011 + everolimus
X-015,GC,LEE011 + everolimus
X-015,GC,LJM716
X-015,GC,LJM716
X-015,GC,LJM716
X-015,GC,LJM716
X-015,GC,LJM716
X-015,GC,LJM716
X-015,GC,LJM716
X-015,GC,LJM716
X-015,GC,LJM716 + trastuzumab
X-015,GC,LJM716 + trastuzumab
X-015,GC,LJM716 + trastuzumab
X-015,GC,LJM716 + trastuzumab
X-015,GC,LJM716 + trastuzumab
X-015,GC,LJM716 + trastuzumab
X-015,GC,LJM716 + trastuzumab
X-015,GC,LJM716 + trastuzumab
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,LLM871
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,binimetinib
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,everolimus
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,trastuzumab
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-015,GC,untreated
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BGJ398
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BKM120
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
X-017,GC,BYL719 + LJM716
