Cell line Name,Model ID, COSMIC ID, TCGA Classfication, Tissue,Tissue sub-type, Datasets, number of drugs
"NCI-H64","SIDM01126","688026","SCLC","lung","lung_small_cell_carcinoma","GDSC1","288"
"NCI-H69","SIDM01121","688027","SCLC","lung","lung_small_cell_carcinoma","GDSC1","379"
"NCI-H82","SIDM01131","688031","SCLC","lung","lung_small_cell_carcinoma","GDSC1","394"
"NCI-H2052","SIDM00713","688058","MESO","lung","mesothelioma","GDSC1","245"
"SK-N-DZ","SIDM01100","688086","NB","nervous_system","neuroblastoma","GDSC1","389"
"SK-N-FI","SIDM01099","688087","NB","nervous_system","neuroblastoma","GDSC1","386"
"VA-ES-BJ","SIDM01179","688121","UNCLASSIFIED","soft_tissue","soft_tissue_other","GDSC1","390"
"VMRC-LCD","SIDM00320","713869","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","176"
"LU-139","SIDM00293","713878","SCLC","lung","lung_small_cell_carcinoma","GDSC1","382"
"SBC-5","SIDM00368","713880","SCLC","lung","lung_small_cell_carcinoma","GDSC1","344"
"SBC-1","SIDM00365","713885","SCLC","lung","lung_small_cell_carcinoma","GDSC1","393"
"LU-135","SIDM00294","713899","SCLC","lung","lung_small_cell_carcinoma","GDSC1","339"
"SK-N-SH","SIDM01098","717431","NB","nervous_system","neuroblastoma","GDSC1","352"
"NCI-H2030","SIDM00715","722045","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","342"
"NCI-H2122","SIDM00702","722046","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","348"
"NCI-H1734","SIDM00739","722058","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","223"
"NCI-H650","SIDM01124","722066","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","352"
"T24","SIDM01184","724812","BLCA","urogenital_system","bladder","GDSC1","346"
"NCI-H929","SIDM01148","724825","MM","blood","myeloma","GDSC1","176"
"SK-N-AS","SIDM01101","724828","NB","nervous_system","neuroblastoma","GDSC1","337"
"NCI-H1299","SIDM00649","724831","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","361"
"NCI-H2087","SIDM00708","724834","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","352"
"UM-UC-3","SIDM01182","724838","BLCA","urogenital_system","bladder","GDSC1","343"
"SW756","SIDM01174","724839","CESC","urogenital_system","cervix","GDSC1","341"
"NCI-H727","SIDM01119","724855","UNCLASSIFIED","lung","lung_NSCLC_carcinoid","GDSC1","347"
"Calu-6","SIDM00921","724859","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","386"
"LU-65","SIDM00547","724863","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","396"
"NCI-H1355","SIDM00645","724866","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","394"
"NCI-H1792","SIDM00771","724868","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","352"
"HPAF-II","SIDM00669","724869","PAAD","pancreas","pancreas","GDSC1","347"
"MIA-PaCa-2","SIDM00505","724870","PAAD","pancreas","pancreas","GDSC1","305"
"SHP-77","SIDM01078","724872","SCLC","lung","lung_small_cell_carcinoma","GDSC1","394"
"NCI-H2009","SIDM00756","724873","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","346"
"NCI-H2291","SIDM00728","724874","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","353"
"SW1573","SIDM01163","724878","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","352"
"TE-5","SIDM00347","735784","ESCA","aero_digestive_tract","oesophagus","GDSC1","392"
"HCC1954","SIDM00872","749709","BRCA","breast","breast","GDSC1","352"
"HCC1143","SIDM00866","749710","BRCA","breast","breast","GDSC1","168"
"HCC1187","SIDM00885","749711","BRCA","breast","breast","GDSC1","384"
"HCC1395","SIDM00884","749712","BRCA","breast","breast","GDSC1","350"
"HCC1599","SIDM00877","749713","BRCA","breast","breast","GDSC1","261"
"HCC1937","SIDM00874","749714","BRCA","breast","breast","GDSC1","354"
"HCC2157","SIDM00774","749715","BRCA","breast","breast","GDSC1","397"
"HCC2218","SIDM00772","749716","BRCA","breast","breast","GDSC1","394"
"HCC38","SIDM00675","749717","BRCA","breast","breast","GDSC1","354"
"BB30-HNC","SIDM00172","753531","HNSC","aero_digestive_tract","head_and_neck","GDSC1","357"
"BB49-HNC","SIDM00174","753532","HNSC","aero_digestive_tract","head_and_neck","GDSC1","385"
"BB65-RCC","SIDM00191","753533","KIRC","kidney","kidney","GDSC1","392"
"BEN","SIDM00990","753534","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","346"
"BHY","SIDM00986","753535","HNSC","aero_digestive_tract","head_and_neck","GDSC1","347"
"Ca9-22","SIDM00489","753538","HNSC","aero_digestive_tract","head_and_neck","GDSC1","347"
"CADO-ES1","SIDM00961","753539","UNCLASSIFIED","bone","ewings_sarcoma","GDSC1","310"
"CAL-12T","SIDM00939","753540","UNCLASSIFIED","lung","lung_NSCLC_not_specified","GDSC1","353"
"CAL-33","SIDM00942","753541","HNSC","aero_digestive_tract","head_and_neck","GDSC1","340"
"CP50-MEL-B","SIDM00175","753545","SKCM","skin","melanoma","GDSC1","344"
"CP66-MEL","SIDM00190","753546","SKCM","skin","melanoma","GDSC1","387"
"CPC-N","SIDM00953","753547","SCLC","lung","lung_small_cell_carcinoma","GDSC1","385"
"CTV-1","SIDM00951","753548","LAML","blood","acute_myeloid_leukaemia","GDSC1","385"
"D-542MG","SIDM00207","753549","GBM","nervous_system","glioma","GDSC1","368"
"DMS-79","SIDM00524","753551","SCLC","lung","lung_small_cell_carcinoma","GDSC1","336"
"DSH1","SIDM00970","753552","BLCA","urogenital_system","bladder","GDSC1","386"
"EBC-1","SIDM00486","753554","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","345"
"EC-GI-10","SIDM00278","753555","ESCA","aero_digestive_tract","oesophagus","GDSC1","394"
"EPLC-272H","SIDM01044","753556","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","353"
"HA7-RCC","SIDM00188","753558","KIRC","kidney","kidney","GDSC1","386"
"HCE-4","SIDM00052","753559","ESCA","aero_digestive_tract","oesophagus","GDSC1","367"
"HO-1-u-1","SIDM00591","753561","HNSC","aero_digestive_tract","head_and_neck","GDSC1","345"
"HSC-2","SIDM00590","753562","HNSC","aero_digestive_tract","head_and_neck","GDSC1","352"
"IM-9","SIDM00632","753563","MM","blood","myeloma","GDSC1","301"
"IST-SL1","SIDM00223","753564","SCLC","lung","lung_small_cell_carcinoma","GDSC1","386"
"IST-SL2","SIDM00230","753565","SCLC","lung","lung_small_cell_carcinoma","GDSC1","367"
"J82","SIDM00693","753566","BLCA","urogenital_system","bladder","GDSC1","342"
"KNS-62","SIDM00606","753569","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","217"
"KOSC-2","SIDM00603","753570","HNSC","aero_digestive_tract","head_and_neck","GDSC1","324"
"KP-4","SIDM00301","753572","PAAD","pancreas","pancreas","GDSC1","341"
"KYSE-140","SIDM01032","753573","ESCA","aero_digestive_tract","oesophagus","GDSC1","312"
"KYSE-410","SIDM01028","753574","ESCA","aero_digestive_tract","oesophagus","GDSC1","324"
"KYSE-520","SIDM01025","753575","ESCA","aero_digestive_tract","oesophagus","GDSC1","347"
"KYSE-70","SIDM01024","753576","ESCA","aero_digestive_tract","oesophagus","GDSC1","345"
"LB1047-RCC","SIDM00187","753577","KIRC","kidney","kidney","GDSC1","392"
"LB2241-RCC","SIDM00186","753578","KIRC","kidney","kidney","GDSC1","394"
"LB2518-MEL","SIDM00185","753579","SKCM","skin","melanoma","GDSC1","387"
"LB373-MEL-D","SIDM00184","753581","SKCM","skin","melanoma","GDSC1","390"
"LB647-SCLC","SIDM00183","753582","SCLC","lung","lung_small_cell_carcinoma","GDSC1","332"
"LB771-HNC","SIDM00182","753583","HNSC","aero_digestive_tract","head_and_neck","GDSC1","392"
"LB831-BLC","SIDM00181","753584","BLCA","urogenital_system","bladder","GDSC1","391"
"LB996-RCC","SIDM00180","753585","KIRC","kidney","kidney","GDSC1","366"
"LCLC-103H","SIDM00345","753586","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","344"
"LU-134-A","SIDM00296","753588","SCLC","lung","lung_small_cell_carcinoma","GDSC1","387"
"LU-165","SIDM00292","753589","SCLC","lung","lung_small_cell_carcinoma","GDSC1","388"
"LXF-289","SIDM00339","753592","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","393"
"MS-1","SIDM00245","753594","SCLC","lung","lung_small_cell_carcinoma","GDSC1","387"
"MZ1-PC","SIDM00053","753595","PAAD","pancreas","pancreas","GDSC1","395"
"MZ7-mel","SIDM00516","753596","SKCM","skin","melanoma","GDSC1","385"
"NCI-H128","SIDM00650","753597","SCLC","lung","lung_small_cell_carcinoma","GDSC1","41"
"NCI-H1304","SIDM00648","753599","SCLC","lung","lung_small_cell_carcinoma","GDSC1","395"
"NCI-H1563","SIDM00751","753600","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","354"
"NCI-H292","SIDM00493","753604","UNCLASSIFIED","lung","lung_NSCLC_adenocarcinoma","GDSC1","351"
"NCI-H510A","SIDM00927","753605","SCLC","lung","lung_small_cell_carcinoma","GDSC1","288"
"NCI-H835","SIDM01133","753607","UNCLASSIFIED","lung","lung_NSCLC_carcinoid","GDSC1","195"
"PC-14","SIDM00237","753608","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","362"
"SBC-3","SIDM00367","753610","SCLC","lung","lung_small_cell_carcinoma","GDSC1","351"
"SK-MM-2","SIDM00391","753612","MM","blood","myeloma","GDSC1","383"
"TE-15","SIDM00249","753614","ESCA","aero_digestive_tract","oesophagus","GDSC1","387"
"U-266","SIDM00417","753615","MM","blood","myeloma","GDSC1","368"
"BE2-M17","SIDM01229","753616","NB","nervous_system","neuroblastoma","GDSC1","386"
"KELLY","SIDM01009","753618","NB","nervous_system","neuroblastoma","GDSC1","389"
"SIMA","SIDM00395","753620","NB","nervous_system","neuroblastoma","GDSC1","393"
"TE-1","SIDM00369","753621","ESCA","aero_digestive_tract","oesophagus","GDSC1","395"
"TE-10","SIDM00349","753622","ESCA","aero_digestive_tract","oesophagus","GDSC1","389"
"TE-8","SIDM00326","753623","ESCA","aero_digestive_tract","oesophagus","GDSC1","393"
"CAPAN-1","SIDM00934","753624","PAAD","pancreas","pancreas","GDSC1","320"
"OVCAR-3","SIDM00105","905933","OV","urogenital_system","ovary","GDSC1","353"
"PC-3","SIDM00088","905934","PRAD","urogenital_system","prostate","GDSC1","346"
"DU-145","SIDM00120","905935","PRAD","urogenital_system","prostate","GDSC1","345"
"HCT-116","SIDM00783","905936","COREAD","digestive_system","large_intestine","GDSC1","344"
"HCT-15","SIDM00789","905937","COREAD","digestive_system","large_intestine","GDSC1","342"
"HL-60","SIDM00829","905938","LAML","blood","acute_myeloid_leukaemia","GDSC1","386"
"HT-29","SIDM00136","905939","COREAD","digestive_system","large_intestine","GDSC1","360"
"K-562","SIDM00791","905940","LCML","blood","chronic_myeloid_leukaemia","GDSC1","393"
"NCI-H226","SIDM00139","905941","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","GDSC1","394"
"NCI-H23","SIDM00138","905942","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","388"
"NCI-H460","SIDM00144","905943","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","348"
"NCI-H522","SIDM00116","905944","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","321"
"T47D","SIDM00097","905945","BRCA","breast","breast","GDSC1","345"
"MCF7","SIDM00148","905946","BRCA","breast","breast","GDSC1","345"
"786-0","SIDM00125","905947","KIRC","kidney","kidney","GDSC1","346"
"A498","SIDM00124","905948","KIRC","kidney","kidney","GDSC1","385"
"A549","SIDM00903","905949","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","359"
"ACHN","SIDM00123","905950","KIRC","kidney","kidney","GDSC1","343"
"BT-549","SIDM00122","905951","BRCA","breast","breast","GDSC1","346"
"CCRF-CEM","SIDM00121","905952","ALL","blood","lymphoblastic_leukemia","GDSC1","378"
"SK-MEL-28","SIDM00081","905954","SKCM","skin","melanoma","GDSC1","348"
"SK-MEL-2","SIDM00082","905955","SKCM","skin","melanoma","GDSC1","403"
"SK-MEL-5","SIDM00080","905956","SKCM","skin","melanoma","GDSC1","344"
"Hs-578-T","SIDM00135","905957","BRCA","breast","breast","GDSC1","352"
"MOLT-4","SIDM00145","905958","ALL","blood","lymphoblastic_leukemia","GDSC1","386"
"SK-OV-3","SIDM00079","905959","OV","urogenital_system","ovary","GDSC1","345"
"MDA-MB-231","SIDM00146","905960","BRCA","breast","breast","GDSC1","346"
"COLO-205","SIDM00826","905961","COREAD","digestive_system","large_intestine","GDSC1","343"
"SW620","SIDM00841","905962","COREAD","digestive_system","large_intestine","GDSC1","361"
"CAKI-1","SIDM00941","905963","KIRC","kidney","kidney","GDSC1","347"
"RPMI-8226","SIDM00087","905964","MM","blood","myeloma","GDSC1","387"
"SR","SIDM00096","905965","UNCLASSIFIED","blood","lymphoid_neoplasm_other","GDSC1","391"
"NCI-H322M","SIDM00117","905967","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","386"
"IGROV-1","SIDM00151","905968","OV","urogenital_system","ovary","GDSC1","329"
"OVCAR-5","SIDM00091","905969","OV","urogenital_system","ovary","GDSC1","344"
"EKVX","SIDM00119","905970","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","393"
"HCC2998","SIDM00118","905971","COREAD","digestive_system","large_intestine","GDSC1","367"
"HOP-62","SIDM00133","905972","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","385"
"HOP-92","SIDM00134","905973","UNCLASSIFIED","lung","lung_NSCLC_large_cell","GDSC1","291"
"LOXIMVI","SIDM00149","905974","SKCM","skin","melanoma","GDSC1","399"
"M14","SIDM00003","905975","SKCM","skin","melanoma","GDSC1","345"
"UACC-62","SIDM00107","905976","SKCM","skin","melanoma","GDSC1","348"
"UACC-257","SIDM00108","905977","SKCM","skin","melanoma","GDSC1","387"
"RXF393","SIDM00086","905978","KIRC","kidney","kidney","GDSC1","393"
"SN12C","SIDM00094","905979","KIRC","kidney","kidney","GDSC1","347"
"TK10","SIDM00113","905980","KIRC","kidney","kidney","GDSC1","391"
"U031","SIDM00112","905981","KIRC","kidney","kidney","GDSC1","342"
"SNB75","SIDM00095","905982","GBM","nervous_system","glioma","GDSC1","394"
"U251","SIDM00111","905983","GBM","nervous_system","glioma","GDSC1","345"
"SF539","SIDM00083","905984","LGG","nervous_system","glioma","GDSC1","385"
"SF295","SIDM00084","905985","GBM","nervous_system","glioma","GDSC1","352"
"SF268","SIDM00085","905986","GBM","nervous_system","glioma","GDSC1","394"
"KM12","SIDM00150","905989","COREAD","digestive_system","large_intestine","GDSC1","392"
"OVCAR-4","SIDM00092","905990","OV","urogenital_system","ovary","GDSC1","393"
"OVCAR-8","SIDM00090","905991","OV","urogenital_system","ovary","GDSC1","352"
"BxPC-3","SIDM00132","906693","PAAD","pancreas","pancreas","GDSC1","346"
"BHT-101","SIDM00987","906696","THCA","thyroid","thyroid","GDSC1","352"
"Becker","SIDM00490","906746","GBM","nervous_system","glioma","GDSC1","391"
"BE-13","SIDM01245","906763","ALL","blood","lymphoblastic_leukemia","GDSC1","386"
"ARH-77","SIDM00900","906765","MM","blood","myeloma","GDSC1","386"
"AGS","SIDM00850","906790","STAD","digestive_system","stomach","GDSC1","311"
"ABC-1","SIDM00494","906791","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","348"
"A2058","SIDM00797","906792","SKCM","skin","melanoma","GDSC1","291"
"A375","SIDM00795","906793","SKCM","skin","melanoma","GDSC1","360"
"A253","SIDM00796","906794","UNCLASSIFIED","aero_digestive_tract","head_and_neck","GDSC1","395"
"8305C","SIDM00997","906795","THCA","thyroid","thyroid","GDSC1","353"
"647-V","SIDM00983","906797","BLCA","urogenital_system","bladder","GDSC1","347"
"639-V","SIDM00999","906798","BLCA","urogenital_system","bladder","GDSC1","353"
"697","SIDM01076","906800","UNCLASSIFIED","blood","lymphoblastic_leukemia","GDSC1","384"
"BT-20","SIDM00893","906801","BRCA","breast","breast","GDSC1","351"
"A2780","SIDM00210","906804","UNCLASSIFIED","urogenital_system","ovary","GDSC1","353"
"COR-L105","SIDM00513","906805","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","345"
"CRO-AP2","SIDM00952","906807","DLBC","blood","B_cell_lymphoma","GDSC1","174"
"COR-L88","SIDM00506","906808","SCLC","lung","lung_small_cell_carcinoma","GDSC1","385"
"COLO-824","SIDM00954","906812","BRCA","breast","breast","GDSC1","387"
"COLO-800","SIDM00515","906813","SKCM","skin","melanoma","GDSC1","389"
"COLO-792","SIDM00140","906814","SKCM","skin","melanoma","GDSC1","308"
"COLO-680N","SIDM00956","906817","ESCA","aero_digestive_tract","oesophagus","GDSC1","347"
"COLO-679","SIDM00284","906818","SKCM","skin","melanoma","GDSC1","345"
"CHP-212","SIDM00910","906820","NB","nervous_system","neuroblastoma","GDSC1","321"
"CFPAC-1","SIDM00130","906821","PAAD","pancreas","pancreas","GDSC1","346"
"Ca-Ski","SIDM00923","906824","CESC","urogenital_system","cervix","GDSC1","345"
"Caov-3","SIDM00919","906825","OV","urogenital_system","ovary","GDSC1","178"
"CAL-120","SIDM00940","906826","BRCA","breast","breast","GDSC1","347"
"CAL-72","SIDM00930","906827","UNCLASSIFIED","bone","osteosarcoma","GDSC1","347"
"CAL-62","SIDM00931","906828","THCA","thyroid","thyroid","GDSC1","343"
"C32","SIDM00890","906830","SKCM","skin","melanoma","GDSC1","357"
"Daudi","SIDM00845","906831","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","391"
"DB","SIDM00886","906832","DLBC","blood","B_cell_lymphoma","GDSC1","381"
"Daoy","SIDM00887","906833","MB","nervous_system","medulloblastoma","GDSC1","343"
"D-283MED","SIDM00888","906834","MB","nervous_system","medulloblastoma","GDSC1","388"
"DBTRG-05MG","SIDM00867","906835","GBM","nervous_system","glioma","GDSC1","347"
"DEL","SIDM00949","906836","UNCLASSIFIED","blood","lymphoid_neoplasm_other","GDSC1","385"
"Detroit562","SIDM00831","906837","HNSC","aero_digestive_tract","head_and_neck","GDSC1","347"
"DG-75","SIDM00948","906838","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","394"
"DK-MG","SIDM00947","906839","GBM","nervous_system","glioma","GDSC1","346"
"DJM-1","SIDM00281","906841","UNCLASSIFIED","skin","skin_other","GDSC1","361"
"DOHH-2","SIDM00981","906842","DLBC","blood","B_cell_lymphoma","GDSC1","181"
"DoTc2-4510","SIDM00864","906843","CESC","urogenital_system","cervix","GDSC1","337"
"DU-4475","SIDM01001","906844","BRCA","breast","breast","GDSC1","383"
"EB2","SIDM00863","906846","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","387"
"EB-3","SIDM00793","906847","UNCLASSIFIED","blood","Burkitt_lymphoma","GDSC1","383"
"ECC10","SIDM00280","906848","UNCLASSIFIED","digestive_system","stomach","GDSC1","343"
"ECC12","SIDM00279","906849","UNCLASSIFIED","digestive_system","stomach","GDSC1","32"
"EFM-19","SIDM01056","906851","BRCA","breast","breast","GDSC1","344"
"EFO-27","SIDM01051","906852","UNCLASSIFIED","urogenital_system","ovary","GDSC1","347"
"EHEB","SIDM01049","906854","CLL","blood","lymphoid_neoplasm_other","GDSC1","295"
"EM-2","SIDM01047","906855","LCML","blood","chronic_myeloid_leukaemia","GDSC1","385"
"EoL-1-cell","SIDM00277","906856","UNCLASSIFIED","blood","haematopoietic_neoplasm_other","GDSC1","381"
"ETK-1","SIDM00276","906861","UNCLASSIFIED","digestive_system","biliary_tract","GDSC1","394"
"EVSA-T","SIDM01042","906862","BRCA","breast","breast","GDSC1","392"
"FADU","SIDM00860","906863","HNSC","aero_digestive_tract","head_and_neck","GDSC1","325"
"FTC-133","SIDM00213","906864","THCA","thyroid","thyroid","GDSC1","327"
"G-361","SIDM00857","906865","SKCM","skin","melanoma","GDSC1","341"
"GAMG","SIDM01055","906868","LGG","nervous_system","glioma","GDSC1","347"
"GCIY","SIDM00274","906869","STAD","digestive_system","stomach","GDSC1","287"
"GDM-1","SIDM01057","906870","LAML","blood","acute_myeloid_leukaemia","GDSC1","382"
"GI-1","SIDM00273","906871","LGG","nervous_system","glioma","GDSC1","391"
"GI-ME-N","SIDM00227","906872","NB","nervous_system","neuroblastoma","GDSC1","394"
"GOTO","SIDM00544","906875","NB","nervous_system","neuroblastoma","GDSC1","385"
"GR-ST","SIDM01259","906877","ALL","blood","lymphoblastic_leukemia","GDSC1","393"
"GCT","SIDM00853","906999","UNCLASSIFIED","soft_tissue","soft_tissue_other","GDSC1","342"
"ESS-1","SIDM01043","907000","UNCLASSIFIED","urogenital_system","endometrium","GDSC1","344"
"H4","SIDM00852","907042","LGG","nervous_system","glioma","GDSC1","344"
"H9","SIDM01251","907043","UNCLASSIFIED","blood","lymphoid_neoplasm_other","GDSC1","383"
"HC-1","SIDM01073","907044","UNCLASSIFIED","blood","hairy_cell_leukaemia","GDSC1","386"
"HCC1419","SIDM00882","907045","BRCA","breast","breast","GDSC1","352"
"HCC1569","SIDM00878","907046","BRCA","breast","breast","GDSC1","354"
"HCC1806","SIDM00875","907047","UNCLASSIFIED","breast","breast","GDSC1","345"
"HCC70","SIDM00673","907048","BRCA","breast","breast","GDSC1","346"
"HEC-1","SIDM00596","907051","UCEC","urogenital_system","endometrium","GDSC1","354"
"HEL","SIDM00594","907053","LAML","blood","acute_myeloid_leukaemia","GDSC1","387"
"HGC-27","SIDM00290","907055","STAD","digestive_system","stomach","GDSC1","325"
"HH","SIDM00671","907056","UNCLASSIFIED","blood","T_cell_leukemia","GDSC1","386"
"HLE","SIDM00064","907057","LIHC","digestive_system","liver","GDSC1","346"
"HMV-II","SIDM00291","907058","SKCM","skin","melanoma","GDSC1","335"
