drug,cell_line,gCSI IC50
crizotinib,A3/KAW,NaN
dasatinib,A3/KAW,0.1
docetaxel,A3/KAW,NaN
doxorubicin,A3/KAW,NaN
erlotinib,A3/KAW,NaN
gdc0941,A3/KAW,NaN
gemcitabine,A3/KAW,NaN
irinotecan,A3/KAW,NaN
lapatinib,A3/KAW,NaN
ms275,A3/KAW,NaN
paclitaxel,A3/KAW,NaN
pd0325901,A3/KAW,NaN
rapamycin,A3/KAW,NaN
thapsigargin,A3/KAW,NaN
vinblastine,A3/KAW,0.01
vorinostat,A3/KAW,NaN
bid1870,A-431,10
bortezomib,A-431,0.01
crizotinib,A-431,1
dasatinib,A-431,NaN
docetaxel,A-431,0.01
doxorubicin,A-431,0.29
erlotinib,A-431,0.24
gdc0941,A-431,10
gemcitabine,A-431,0.02
irinotecan,A-431,1.79
lapatinib,A-431,1.35
ms275,A-431,0.1
paclitaxel,A-431,0.01
pd0325901,A-431,0.63
rapamycin,A-431,0.1
thapsigargin,A-431,0.04
vinblastine,A-431,NaN
vorinostat,A-431,2.91
bid1870,A-498,10
bortezomib,A-498,0.04
crizotinib,A-498,1
dasatinib,A-498,NaN
docetaxel,A-498,0.02
doxorubicin,A-498,0.35
erlotinib,A-498,10
gdc0941,A-498,10
gemcitabine,A-498,0.01
irinotecan,A-498,4.46
lapatinib,A-498,4.58
ms275,A-498,0.1
paclitaxel,A-498,0.08
pd0325901,A-498,13.09
rapamycin,A-498,0.1
thapsigargin,A-498,0.21
vinblastine,A-498,NaN
vorinostat,A-498,2.57
bid1870,A4/Fuk,NaN
bortezomib,A4/Fuk,NaN
crizotinib,A4/Fuk,NaN
dasatinib,A4/Fuk,0.1
docetaxel,A4/Fuk,NaN
doxorubicin,A4/Fuk,NaN
erlotinib,A4/Fuk,NaN
gdc0941,A4/Fuk,NaN
gemcitabine,A4/Fuk,NaN
irinotecan,A4/Fuk,NaN
lapatinib,A4/Fuk,NaN
ms275,A4/Fuk,NaN
paclitaxel,A4/Fuk,NaN
pd0325901,A4/Fuk,NaN
rapamycin,A4/Fuk,NaN
thapsigargin,A4/Fuk,NaN
vinblastine,A4/Fuk,0.01
vorinostat,A4/Fuk,NaN
bid1870,A549,10
bortezomib,A549,0.06
crizotinib,A549,1
dasatinib,A549,NaN
docetaxel,A549,0.01
doxorubicin,A549,0.25
erlotinib,A549,10
gdc0941,A549,10
gemcitabine,A549,0
irinotecan,A549,2.96
lapatinib,A549,10.05
ms275,A549,0.1
paclitaxel,A549,0.02
pd0325901,A549,0.04
rapamycin,A549,0.01
thapsigargin,A549,0.03
vinblastine,A549,NaN
vorinostat,A549,1.54
bid1870,A-673,10
bortezomib,A-673,0.04
crizotinib,A-673,1
dasatinib,A-673,NaN
docetaxel,A-673,0.01
doxorubicin,A-673,0.46
erlotinib,A-673,10
gdc0941,A-673,10
gemcitabine,A-673,0.01
irinotecan,A-673,0.41
lapatinib,A-673,20
ms275,A-673,0.1
paclitaxel,A-673,0.02
pd0325901,A-673,20
rapamycin,A-673,0.1
thapsigargin,A-673,0.01
vinblastine,A-673,NaN
vorinostat,A-673,1.19
bid1870,ABC-1,10
bortezomib,ABC-1,0
crizotinib,ABC-1,1
dasatinib,ABC-1,NaN
docetaxel,ABC-1,0.01
doxorubicin,ABC-1,0.17
erlotinib,ABC-1,10
gdc0941,ABC-1,10
gemcitabine,ABC-1,0.02
irinotecan,ABC-1,0.73
lapatinib,ABC-1,20
ms275,ABC-1,0.1
paclitaxel,ABC-1,0.02
pd0325901,ABC-1,20
rapamycin,ABC-1,0.1
thapsigargin,ABC-1,0.04
vinblastine,ABC-1,NaN
vorinostat,ABC-1,0.94
bid1870,ACHN,10
bortezomib,ACHN,0.01
crizotinib,ACHN,1
dasatinib,ACHN,NaN
docetaxel,ACHN,0.3
doxorubicin,ACHN,0.32
erlotinib,ACHN,0.66
gdc0941,ACHN,10
gemcitabine,ACHN,0.01
irinotecan,ACHN,1.21
lapatinib,ACHN,20
ms275,ACHN,0.1
paclitaxel,ACHN,0.45
pd0325901,ACHN,20
rapamycin,ACHN,0.1
thapsigargin,ACHN,0.07
vinblastine,ACHN,NaN
vorinostat,ACHN,2.25
bid1870,AGS,10
bortezomib,AGS,0.07
crizotinib,AGS,1
dasatinib,AGS,NaN
docetaxel,AGS,0.01
doxorubicin,AGS,0.21
erlotinib,AGS,10
gdc0941,AGS,10
gemcitabine,AGS,0.01
irinotecan,AGS,7.33
lapatinib,AGS,7.91
ms275,AGS,0.1
paclitaxel,AGS,0.03
pd0325901,AGS,0.21
rapamycin,AGS,0.1
thapsigargin,AGS,0.05
vinblastine,AGS,NaN
vorinostat,AGS,2.01
bid1870,AM-38,10
bortezomib,AM-38,0.04
crizotinib,AM-38,1
dasatinib,AM-38,NaN
docetaxel,AM-38,0.3
doxorubicin,AM-38,1.64
erlotinib,AM-38,10
gdc0941,AM-38,10
gemcitabine,AM-38,1
irinotecan,AM-38,2.83
lapatinib,AM-38,20
ms275,AM-38,0.1
paclitaxel,AM-38,3
pd0325901,AM-38,20
rapamycin,AM-38,0.1
thapsigargin,AM-38,0.26
vinblastine,AM-38,NaN
vorinostat,AM-38,3.75
bid1870,AMO-1,10
bortezomib,AMO-1,0.02
crizotinib,AMO-1,1
dasatinib,AMO-1,NaN
docetaxel,AMO-1,0.01
doxorubicin,AMO-1,0.25
erlotinib,AMO-1,10
gdc0941,AMO-1,10
gemcitabine,AMO-1,0.01
irinotecan,AMO-1,1.12
lapatinib,AMO-1,20
ms275,AMO-1,0.1
paclitaxel,AMO-1,0.01
pd0325901,AMO-1,20
rapamycin,AMO-1,0.1
thapsigargin,AMO-1,0.04
vinblastine,AMO-1,NaN
vorinostat,AMO-1,0.95
bid1870,AN3 CA,10
bortezomib,AN3 CA,0.02
crizotinib,AN3 CA,1
dasatinib,AN3 CA,NaN
docetaxel,AN3 CA,0.01
doxorubicin,AN3 CA,0.56
erlotinib,AN3 CA,10
gdc0941,AN3 CA,10
gemcitabine,AN3 CA,1
irinotecan,AN3 CA,20
lapatinib,AN3 CA,8.97
ms275,AN3 CA,0.1
paclitaxel,AN3 CA,0.01
pd0325901,AN3 CA,20
rapamycin,AN3 CA,0.1
thapsigargin,AN3 CA,0.03
vinblastine,AN3 CA,NaN
vorinostat,AN3 CA,1.74
bid1870,AsPC-1,10
bortezomib,AsPC-1,0.03
crizotinib,AsPC-1,1
dasatinib,AsPC-1,NaN
docetaxel,AsPC-1,0.03
doxorubicin,AsPC-1,0.71
erlotinib,AsPC-1,10
gdc0941,AsPC-1,10
gemcitabine,AsPC-1,0.21
irinotecan,AsPC-1,20
lapatinib,AsPC-1,13.7
ms275,AsPC-1,0.1
paclitaxel,AsPC-1,0.07
pd0325901,AsPC-1,0.12
rapamycin,AsPC-1,0.1
thapsigargin,AsPC-1,0.05
vinblastine,AsPC-1,NaN
vorinostat,AsPC-1,3.15
bid1870,AU565,10
bortezomib,AU565,0.01
crizotinib,AU565,1
dasatinib,AU565,NaN
docetaxel,AU565,0.01
doxorubicin,AU565,0.47
erlotinib,AU565,6.8
gdc0941,AU565,10
gemcitabine,AU565,0.01
irinotecan,AU565,1.5
lapatinib,AU565,0.39
ms275,AU565,0.1
paclitaxel,AU565,0.02
pd0325901,AU565,20
rapamycin,AU565,0.1
thapsigargin,AU565,0.11
vinblastine,AU565,NaN
vorinostat,AU565,1.25
bid1870,B-CPAP,10
bortezomib,B-CPAP,0.05
crizotinib,B-CPAP,1
dasatinib,B-CPAP,NaN
docetaxel,B-CPAP,0
doxorubicin,B-CPAP,0.42
erlotinib,B-CPAP,10
gdc0941,B-CPAP,10
gemcitabine,B-CPAP,0.01
irinotecan,B-CPAP,1.2
lapatinib,B-CPAP,12.81
ms275,B-CPAP,0.1
paclitaxel,B-CPAP,0.01
pd0325901,B-CPAP,0.07
rapamycin,B-CPAP,0.1
thapsigargin,B-CPAP,0.01
vinblastine,B-CPAP,NaN
vorinostat,B-CPAP,1.58
bid1870,BEN,10
bortezomib,BEN,0.11
crizotinib,BEN,1
dasatinib,BEN,NaN
docetaxel,BEN,0.3
doxorubicin,BEN,5.89
erlotinib,BEN,10
gdc0941,BEN,10
gemcitabine,BEN,1
irinotecan,BEN,20
lapatinib,BEN,20
ms275,BEN,0.1
paclitaxel,BEN,3
pd0325901,BEN,20
rapamycin,BEN,0.1
thapsigargin,BEN,0.19
vinblastine,BEN,NaN
vorinostat,BEN,3.94
bid1870,BFTC-909,10
bortezomib,BFTC-909,0.05
crizotinib,BFTC-909,1
dasatinib,BFTC-909,NaN
docetaxel,BFTC-909,0.01
doxorubicin,BFTC-909,0.39
erlotinib,BFTC-909,10
gdc0941,BFTC-909,0.83
gemcitabine,BFTC-909,0.01
irinotecan,BFTC-909,4.2
lapatinib,BFTC-909,20
ms275,BFTC-909,0.1
paclitaxel,BFTC-909,0.02
pd0325901,BFTC-909,20
rapamycin,BFTC-909,0.1
thapsigargin,BFTC-909,0.05
vinblastine,BFTC-909,NaN
vorinostat,BFTC-909,2.29
bid1870,BHY,10
bortezomib,BHY,0.02
crizotinib,BHY,1
dasatinib,BHY,NaN
docetaxel,BHY,0.02
doxorubicin,BHY,0.51
erlotinib,BHY,0.84
gdc0941,BHY,10
gemcitabine,BHY,0.02
irinotecan,BHY,1.3
lapatinib,BHY,3.29
ms275,BHY,0.1
paclitaxel,BHY,0.04
pd0325901,BHY,20
rapamycin,BHY,0.1
thapsigargin,BHY,0.02
vinblastine,BHY,NaN
vorinostat,BHY,2.85
bid1870,BOKU,10
bortezomib,BOKU,0.11
crizotinib,BOKU,1
dasatinib,BOKU,NaN
docetaxel,BOKU,0.3
doxorubicin,BOKU,0.45
erlotinib,BOKU,10
gdc0941,BOKU,10
gemcitabine,BOKU,0.02
irinotecan,BOKU,3.32
lapatinib,BOKU,20
ms275,BOKU,0.1
paclitaxel,BOKU,3
pd0325901,BOKU,20
rapamycin,BOKU,0.1
thapsigargin,BOKU,0.08
vinblastine,BOKU,NaN
vorinostat,BOKU,6.31
bid1870,BT-20,10
bortezomib,BT-20,0.05
crizotinib,BT-20,1
dasatinib,BT-20,0.1
docetaxel,BT-20,0.01
doxorubicin,BT-20,0.4
erlotinib,BT-20,10
gdc0941,BT-20,10
gemcitabine,BT-20,1
irinotecan,BT-20,7.15
lapatinib,BT-20,18.34
ms275,BT-20,0.1
paclitaxel,BT-20,0.02
pd0325901,BT-20,20
rapamycin,BT-20,0.1
thapsigargin,BT-20,0.09
vinblastine,BT-20,0.02
vorinostat,BT-20,5.32
bid1870,BT-474,10
bortezomib,BT-474,0.1
crizotinib,BT-474,1
dasatinib,BT-474,NaN
docetaxel,BT-474,0.04
doxorubicin,BT-474,1.3
erlotinib,BT-474,10
gdc0941,BT-474,10
gemcitabine,BT-474,1
irinotecan,BT-474,20
lapatinib,BT-474,0.45
ms275,BT-474,0.1
paclitaxel,BT-474,0.05
pd0325901,BT-474,20
rapamycin,BT-474,0.1
thapsigargin,BT-474,0.09
vinblastine,BT-474,NaN
vorinostat,BT-474,2.06
bid1870,BT-549,10
bortezomib,BT-549,0.01
crizotinib,BT-549,1
dasatinib,BT-549,0.1
docetaxel,BT-549,0
doxorubicin,BT-549,0.26
erlotinib,BT-549,10
gdc0941,BT-549,10
gemcitabine,BT-549,0.01
irinotecan,BT-549,1.63
lapatinib,BT-549,15.2
ms275,BT-549,0.1
paclitaxel,BT-549,0.01
pd0325901,BT-549,20
rapamycin,BT-549,0.1
thapsigargin,BT-549,0.05
vinblastine,BT-549,0.01
vorinostat,BT-549,4.17
bid1870,BxPC-3,10
bortezomib,BxPC-3,0.02
crizotinib,BxPC-3,1
dasatinib,BxPC-3,NaN
docetaxel,BxPC-3,0.04
doxorubicin,BxPC-3,0.99
erlotinib,BxPC-3,10
gdc0941,BxPC-3,10
gemcitabine,BxPC-3,0.04
irinotecan,BxPC-3,6.59
lapatinib,BxPC-3,8.77
ms275,BxPC-3,0.1
paclitaxel,BxPC-3,0.04
pd0325901,BxPC-3,1.77
rapamycin,BxPC-3,0.1
thapsigargin,BxPC-3,0.06
vinblastine,BxPC-3,NaN
vorinostat,BxPC-3,3.43
bid1870,C2BBe1,10
bortezomib,C2BBe1,0.06
crizotinib,C2BBe1,1
dasatinib,C2BBe1,NaN
docetaxel,C2BBe1,0.3
doxorubicin,C2BBe1,20
erlotinib,C2BBe1,10
gdc0941,C2BBe1,10
gemcitabine,C2BBe1,1
irinotecan,C2BBe1,20
lapatinib,C2BBe1,20
ms275,C2BBe1,0.1
paclitaxel,C2BBe1,3
pd0325901,C2BBe1,20
rapamycin,C2BBe1,0.1
thapsigargin,C2BBe1,0.07
vinblastine,C2BBe1,NaN
vorinostat,C2BBe1,2.02
bid1870,C32,10
bortezomib,C32,0.03
crizotinib,C32,1
dasatinib,C32,NaN
docetaxel,C32,0.06
doxorubicin,C32,0.37
erlotinib,C32,10
gdc0941,C32,10
gemcitabine,C32,0.01
irinotecan,C32,1.46
lapatinib,C32,11.44
ms275,C32,0.1
paclitaxel,C32,0.07
pd0325901,C32,0
rapamycin,C32,0.1
thapsigargin,C32,1
vinblastine,C32,NaN
vorinostat,C32,10
bid1870,C-33 A,10
bortezomib,C-33 A,0.02
crizotinib,C-33 A,1
dasatinib,C-33 A,NaN
docetaxel,C-33 A,0.01
doxorubicin,C-33 A,0.1
erlotinib,C-33 A,5.2
gdc0941,C-33 A,10
gemcitabine,C-33 A,0
irinotecan,C-33 A,0.53
lapatinib,C-33 A,2.91
ms275,C-33 A,0.1
paclitaxel,C-33 A,0.01
pd0325901,C-33 A,0.68
rapamycin,C-33 A,0.1
thapsigargin,C-33 A,0.03
vinblastine,C-33 A,NaN
vorinostat,C-33 A,1.13
bid1870,C3A,10
bortezomib,C3A,0.02
crizotinib,C3A,1
dasatinib,C3A,NaN
docetaxel,C3A,0.3
doxorubicin,C3A,8.69
erlotinib,C3A,10
gdc0941,C3A,10
gemcitabine,C3A,1
irinotecan,C3A,20
lapatinib,C3A,10.69
ms275,C3A,0.1
paclitaxel,C3A,3
pd0325901,C3A,0.66
rapamycin,C3A,0.1
thapsigargin,C3A,1
vinblastine,C3A,NaN
vorinostat,C3A,1.94
bid1870,CA46,10
bortezomib,CA46,0.12
crizotinib,CA46,1
dasatinib,CA46,0.1
docetaxel,CA46,0.01
doxorubicin,CA46,0.15
erlotinib,CA46,10
gdc0941,CA46,10
gemcitabine,CA46,0
irinotecan,CA46,3.04
lapatinib,CA46,20
ms275,CA46,0.1
paclitaxel,CA46,0.01
pd0325901,CA46,20
rapamycin,CA46,0
thapsigargin,CA46,0.05
vinblastine,CA46,0.01
vorinostat,CA46,0.37
bid1870,Caki-1,10
bortezomib,Caki-1,0.11
crizotinib,Caki-1,1
dasatinib,Caki-1,NaN
docetaxel,Caki-1,0.3
doxorubicin,Caki-1,0.7
erlotinib,Caki-1,10
gdc0941,Caki-1,10
gemcitabine,Caki-1,0.01
irinotecan,Caki-1,1
lapatinib,Caki-1,20
ms275,Caki-1,0.1
paclitaxel,Caki-1,0.4
pd0325901,Caki-1,0.87
rapamycin,Caki-1,0.1
thapsigargin,Caki-1,0.05
vinblastine,Caki-1,NaN
vorinostat,Caki-1,1.33
bid1870,Caki-2,10
bortezomib,Caki-2,0.22
crizotinib,Caki-2,1
dasatinib,Caki-2,NaN
docetaxel,Caki-2,0.3
doxorubicin,Caki-2,20
erlotinib,Caki-2,10
gdc0941,Caki-2,10
gemcitabine,Caki-2,1
irinotecan,Caki-2,20
lapatinib,Caki-2,20
ms275,Caki-2,0.1
paclitaxel,Caki-2,0.42
pd0325901,Caki-2,0.46
rapamycin,Caki-2,0.1
thapsigargin,Caki-2,0.08
vinblastine,Caki-2,NaN
vorinostat,Caki-2,2.02
bid1870,CAL-120,10
bortezomib,CAL-120,0.03
crizotinib,CAL-120,1
dasatinib,CAL-120,0.07
docetaxel,CAL-120,0.03
doxorubicin,CAL-120,0.5
erlotinib,CAL-120,10
gdc0941,CAL-120,10
gemcitabine,CAL-120,0.16
irinotecan,CAL-120,3.71
lapatinib,CAL-120,20
ms275,CAL-120,0.1
paclitaxel,CAL-120,0.03
pd0325901,CAL-120,20
rapamycin,CAL-120,0.02
thapsigargin,CAL-120,0.04
vinblastine,CAL-120,0.02
vorinostat,CAL-120,1.34
bid1870,CAL-12T,10
bortezomib,CAL-12T,0.05
crizotinib,CAL-12T,1
dasatinib,CAL-12T,0.04
docetaxel,CAL-12T,0.01
doxorubicin,CAL-12T,0.39
erlotinib,CAL-12T,0.27
gdc0941,CAL-12T,10
gemcitabine,CAL-12T,1
irinotecan,CAL-12T,13.37
lapatinib,CAL-12T,2.15
ms275,CAL-12T,0.1
paclitaxel,CAL-12T,0.02
pd0325901,CAL-12T,0.26
rapamycin,CAL-12T,0.01
thapsigargin,CAL-12T,0.03
vinblastine,CAL-12T,0.01
vorinostat,CAL-12T,1.39
bid1870,CAL-148,10
bortezomib,CAL-148,0.09
crizotinib,CAL-148,1
dasatinib,CAL-148,NaN
docetaxel,CAL-148,0.01
doxorubicin,CAL-148,0.08
erlotinib,CAL-148,10
gdc0941,CAL-148,10
gemcitabine,CAL-148,0
irinotecan,CAL-148,0.13
lapatinib,CAL-148,20
ms275,CAL-148,0.1
paclitaxel,CAL-148,0.02
pd0325901,CAL-148,20
rapamycin,CAL-148,0.1
thapsigargin,CAL-148,1
vinblastine,CAL-148,NaN
vorinostat,CAL-148,0.74
bid1870,CAL 27,10
bortezomib,CAL 27,0.02
crizotinib,CAL 27,1
dasatinib,CAL 27,NaN
docetaxel,CAL 27,0
doxorubicin,CAL 27,0.08
erlotinib,CAL 27,0.3
gdc0941,CAL 27,10
gemcitabine,CAL 27,0.01
irinotecan,CAL 27,0.54
lapatinib,CAL 27,1.18
ms275,CAL 27,0.1
paclitaxel,CAL 27,0.01
pd0325901,CAL 27,0.02
rapamycin,CAL 27,0.01
thapsigargin,CAL 27,0.02
vinblastine,CAL 27,NaN
vorinostat,CAL 27,0.4
bid1870,CAL51,10
bortezomib,CAL51,0.03
crizotinib,CAL51,1
dasatinib,CAL51,0.1
docetaxel,CAL51,0.01
doxorubicin,CAL51,0.08
erlotinib,CAL51,10
gdc0941,CAL51,10
gemcitabine,CAL51,0
irinotecan,CAL51,1.17
lapatinib,CAL51,12.61
ms275,CAL51,0.1
paclitaxel,CAL51,0.01
pd0325901,CAL51,19.74
rapamycin,CAL51,0
thapsigargin,CAL51,0.02
vinblastine,CAL51,0.01
vorinostat,CAL51,1.46
bid1870,CAL 54,10
bortezomib,CAL 54,0.02
crizotinib,CAL 54,1
dasatinib,CAL 54,NaN
docetaxel,CAL 54,0.09
doxorubicin,CAL 54,0.44
erlotinib,CAL 54,10
gdc0941,CAL 54,10
gemcitabine,CAL 54,0.01
irinotecan,CAL 54,1.13
lapatinib,CAL 54,4.09
ms275,CAL 54,0.1
paclitaxel,CAL 54,0.28
pd0325901,CAL 54,20
rapamycin,CAL 54,0.1
thapsigargin,CAL 54,0.15
vinblastine,CAL 54,NaN
vorinostat,CAL 54,1.32
bid1870,Calu-3,10
bortezomib,Calu-3,0.08
crizotinib,Calu-3,1
dasatinib,Calu-3,NaN
docetaxel,Calu-3,0.3
doxorubicin,Calu-3,0.21
erlotinib,Calu-3,0.68
gdc0941,Calu-3,10
gemcitabine,Calu-3,0.03
irinotecan,Calu-3,1.7
lapatinib,Calu-3,0.51
ms275,Calu-3,0.1
paclitaxel,Calu-3,3
pd0325901,Calu-3,11.94
rapamycin,Calu-3,0.09
thapsigargin,Calu-3,1
vinblastine,Calu-3,NaN
vorinostat,Calu-3,1.04
bid1870,Calu-6,NaN
bortezomib,Calu-6,NaN
crizotinib,Calu-6,NaN
dasatinib,Calu-6,NaN
docetaxel,Calu-6,NaN
doxorubicin,Calu-6,NaN
erlotinib,Calu-6,NaN
gdc0941,Calu-6,NaN
gemcitabine,Calu-6,NaN
irinotecan,Calu-6,NaN
lapatinib,Calu-6,NaN
ms275,Calu-6,NaN
paclitaxel,Calu-6,NaN
pd0325901,Calu-6,NaN
rapamycin,Calu-6,NaN
thapsigargin,Calu-6,NaN
vinblastine,Calu-6,NaN
vorinostat,Calu-6,NaN
bid1870,CAMA-1,10
bortezomib,CAMA-1,0.06
crizotinib,CAMA-1,1
dasatinib,CAMA-1,0.1
docetaxel,CAMA-1,0.3
doxorubicin,CAMA-1,1.06
erlotinib,CAMA-1,10
gdc0941,CAMA-1,10
gemcitabine,CAMA-1,1
irinotecan,CAMA-1,20
lapatinib,CAMA-1,20
ms275,CAMA-1,0.1
paclitaxel,CAMA-1,3
pd0325901,CAMA-1,20
rapamycin,CAMA-1,0.1
thapsigargin,CAMA-1,1
vinblastine,CAMA-1,0.02
vorinostat,CAMA-1,3.01
bid1870,Capan-1,10
bortezomib,Capan-1,0.18
crizotinib,Capan-1,1
dasatinib,Capan-1,NaN
docetaxel,Capan-1,0.3
doxorubicin,Capan-1,5.48
erlotinib,Capan-1,10
gdc0941,Capan-1,10
gemcitabine,Capan-1,1
irinotecan,Capan-1,9.09
lapatinib,Capan-1,20
ms275,Capan-1,0.1
paclitaxel,Capan-1,3
pd0325901,Capan-1,15.43
rapamycin,Capan-1,0.1
thapsigargin,Capan-1,0.11
vinblastine,Capan-1,NaN
vorinostat,Capan-1,7.75
bid1870,Capan-2,10
bortezomib,Capan-2,0.06
crizotinib,Capan-2,1
dasatinib,Capan-2,NaN
docetaxel,Capan-2,0.3
doxorubicin,Capan-2,1.99
erlotinib,Capan-2,10
gdc0941,Capan-2,10
gemcitabine,Capan-2,1
irinotecan,Capan-2,20
lapatinib,Capan-2,10.7
ms275,Capan-2,0.1
paclitaxel,Capan-2,0.26
pd0325901,Capan-2,0.03
rapamycin,Capan-2,0.1
thapsigargin,Capan-2,0.04
vinblastine,Capan-2,NaN
vorinostat,Capan-2,2.87
bid1870,CaR-1,10
bortezomib,CaR-1,0.04
crizotinib,CaR-1,1
dasatinib,CaR-1,NaN
docetaxel,CaR-1,0.02
doxorubicin,CaR-1,0.7
erlotinib,CaR-1,2.59
gdc0941,CaR-1,10
gemcitabine,CaR-1,0.02
irinotecan,CaR-1,1.94
lapatinib,CaR-1,3.29
ms275,CaR-1,0.1
paclitaxel,CaR-1,0.04
pd0325901,CaR-1,0.59
rapamycin,CaR-1,0.1
thapsigargin,CaR-1,0.02
