Drug_name	Drug_ID	Number_of_Tested_Cell_lines	Threshold
PF-00299804	363	916	0.682215695501547
TWS119	366	925	0.876674672312213
Torin 2	371	877	-3.49282747078658
Pilaralisib	372	925	1.99712659796851
GSK1059615	374	911	-1.67483091017827
Voxtalisib	375	925	2.98577983814294
Brivanib, BMS-540215	376	924	2.9351625589199
BIBF-1120	380	924	0.722878292150089
AST-1306	381	910	0.418180232971478
Apitolisib	382	912	-1.55920742449283
LIMK1 inhibitor BMS4	406	925	3.85700244430146
kb NB 142-70	407	925	1.05644079358336
Sphingosine Kinase 1 Inhibitor II	408	925	2.75187534633116
eEF2K Inhibitor, A-484954	409	922	4.88104319247367
MetAP2 Inhibitor, A832234	410	909	1.27754409865866
Venotoclax	412	911	0.350541932871816
CPI-613	415	915	4.17501424602325
CAY10566	416	910	1.8882352309586
Ara-G	427	912	4.51621572020478
Pemetrexed	428	905	2.54847607400133
Alisertib	431	896	0.330630494477704
Flavopiridol	432	910	-2.53364523667798
C-75	435	914	2.56022273752835
CAP-232, TT-232, TLN-232	436	912	2.23944071213821
Trichostatin A	437	911	-2.81929162078148
Panobinostat	438	904	-4.54354013187527
LCL161	439	910	2.64513191505432
IMD-0354	442	918	-1.09892746755197
MIM1	446	907	2.09887562716763
ETP-45835	447	925	4.43386238892783
CD532	449	926	-1.08758841894453
NSC319726	461	879	-2.8188994350186
ARRY-520	474	905	-6.17994854660759
SB505124	476	910	1.19881287994064
SB505124	1194	924	3.12673873613777
A-83-01	477	911	3.22807068620034
LDN-193189	478	913	-0.0431235739663196
FTY-720	546	915	1.40617469674682
BAM7	552	914	3.64382144864399
AGI-6780	562	915	0.637359636743356
Kobe2602	563	913	3.34185819657821
LGK974	573	911	1.65644664717467
Wnt-C59	574	913	1.65925724819126
RU-SKI 43	576	914	3.72722174952538
AICA Ribonucleotide	1001	939	6.21738360257067
Vinblastine	1004	945	-5.89176291757776
Cisplatin	1005	948	1.42389702376005
Cisplatin	1496	931	0.208926737436326
Cytarabine	1006	937	-1.7710017820832
Docetaxel	1007	947	-6.8062617258629
Methotrexate	1008	947	-0.76246253944721
Tretinoin	1009	937	2.38597489918832
Gefitinib	1010	941	-0.371460831656569
Navitoclax	1011	942	0.380002915213352
Vorinostat	1012	948	-0.377800911331449
Nilotinib	1013	947	1.7323192702831
Refametinib	1014	927	-0.661589330761599
Refametinib	1526	874	-0.313839198068683
CI-1040	1015	930	0.700582625598749
Temsirolimus	1016	928	-3.47235452432258
Olaparib	1017	946	3.02682311714283
Olaparib	1495	906	2.38342676864762
Veliparib	1018	947	2.88849862836404
Bosutinib	1019	946	-0.0642252459676855
Lenalidomide	1020	947	2.8937257215074
Axitinib	1021	941	0.523577315398755
AZD7762	1022	945	-2.12215395084216
AZD7762	1402	933	-2.19221200935675
GW441756	1023	944	1.39570724276621
Lestaurtinib	1024	943	-2.37851554397366
SB216763	1025	851	3.22924713384472
Tanespimycin	1026	944	-3.22369608363227
VX-702	1028	941	1.92486014166106
Motesanib	1029	941	1.62428142904729
KU-55933	1030	945	2.59921370089502
Elesclomol	1031	934	-5.25923087245212
Afatinib	1032	943	-0.312548754524801
Afatinib	1377	914	2.17055815127962
Vismodegib	1033	949	3.3297610777829
PLX-4720	1036	944	2.29361035987763
PLX-4720	1371	925	2.88199639131869
BX795	1037	946	0.476310368111821
NU7441	1038	940	1.05071928968813
SL0101	1039	929	3.20340719378197
Doramapimod	1042	927	3.08366010340292
JNK Inhibitor VIII	1043	943	3.33209829639945
Wee1 Inhibitor	1046	856	0.393063452351927
Nutlin-3a (-)	1047	947	2.64869153050668
Mirin	1048	859	3.19811694827857
PD173074	1049	946	1.28293183505302
ZM447439	1050	947	0.598477059565866
RO-3306	1052	946	2.05610343164196
MK-2206	1053	901	0.00188718603222604
Palbociclib	1054	901	-0.383780531978097
Dactolisib	1057	932	-3.95258125770174
Pictilisib	1058	934	-0.702013716701171
Pictilisib	1527	881	-0.802362764470131
AZD8055	1059	935	-1.18957230547548
PD0325901	1060	932	-2.51342267182948
SB590885	1061	908	2.40817113245524
Selumetinib	1062	893	1.05637319724772
Selumetinib	1498	919	0.762097677258552
CCT007093	1067	936	3.13966384049056
EHT-1864	1069	941	2.55232135946739
Cetuximab	1114	873	5.13826708577561
PF-4708671	1129	930	2.66352704529646
Serdemetan	1133	938	1.53944410404226
AZD4547	1135	938	1.22346244395775
AZD4547	1497	885	1.08458073219657
Capivasertib	1136	938	1.6250645142429
HG-5-113-01	1142	494	0.432334893907518
HG-5-88-01	1143	493	1.887676621292
TW 37	1149	939	-1.89574427873064
XMD11-85h	1158	494	2.55745818742845
ZG-10	1161	494	0.0889079522426792
XMD8-92	1164	495	1.79717282035596
QL-VIII-58	1166	496	-3.03659397407441
CCT-018159	1170	935	1.74031460869972
Rucaparib	1175	940	2.14641538790465
AZ20	1184	940	-0.546476175326236
KU-60019	1185	939	1.91253509786345
Tamoxifen	1199	924	2.74899866679639
QL-XII-61	1203	472	3.2434125388949
PFI-1	1219	927	1.21633332408591
IOX2	1230	926	-0.773865015345883
YK-4-279	1239	792	0.046298971276431
(5Z)-7-Oxozeaenol	1242	912	-0.606224178582227
Piperlongumine	1243	924	0.660231183739407
Daporinad	1248	890	-7.23554675774446
Talazoparib	1259	910	-0.0323008078075846
rTRAIL	1261	918	-1.31228495875011
UNC1215	1262	909	1.71838985085629
UNC0642	1263	894	1.00040969468373
SGC0946	1264	908	1.0326191780968
ICL1100013	1266	912	-0.588542293239912
XAV939	1268	916	2.23263301840066
Trametinib	1372	892	-2.23120116812194
Dabrafenib	1373	870	1.95689942047321
Temozolomide	1375	908	4.66247418466271
Bleomycin (50 uM)	1378	933	0.260139823837172
AZD3514	1382	930	2.12790284444473
Bleomycin (10 uM)	1392	930	0.134645270651623
AZD6738	1394	931	0.188504804302656
AZD5438	1401	929	-0.381133223338646
AZD6094	1403	931	2.32286293131904
Dyrk1b_0191	1407	931	1.06063325366319
AZD4877	1409	930	-5.40902638167777
EphB4_9721	1413	928	0.908245291500402
Fulvestrant	1414	928	2.79452690684453
AZD8931	1416	926	0.473695633189144
FEN1_3940	1419	925	1.30411944426214
FGFR_0939	1421	932	0.920723678869884
FGFR_3831	1422	930	1.1467914505273
BPTES	1425	929	2.44744303481767
AZD7969	1426	927	0.746256920582579
AZD5582	1427	920	0.733820346090386
IAP_5620	1428	922	2.98242569589153
IAP_7638	1429	921	2.61526642552295
IGFR_3801	1430	928	-2.01639679065398
AZD1480	1432	933	0.252509833959624
JAK1_3715	1433	932	3.26683201323542
JAK3_7406	1434	931	1.69134427814573
MCT1_6447	1436	910	3.04740079692755
MCT4_1422	1437	931	3.1390208671577
AZD2014	1441	931	-1.71361800168743
AZD8186	1444	928	0.518088579011861
AZD8835	1445	922	1.15052129367534
PI3Ka_4409	1446	926	0.853500987747797
AZD1208	1449	933	2.21723651564006
PLK_6522	1451	916	-4.43680825763748
RAF_9304	1453	931	0.992185635270907
PARP_9495	1458	923	0.0536207222563068
PARP_0108	1459	930	-2.42671928128409
PARP_9482	1460	927	-1.38961066593899
TANK_1366	1461	931	1.62493982598708
AZD1332	1463	932	0.785170580330476
TTK_3146	1464	931	1.500822011567
SN-38	1490	924	-6.24171347154929
SN-38	1494	952	-6.43684709226172
Pevonedistat	1529	701	-1.92290447074315
PFI-3	1530	846	3.7745545687568
